instance,algo,pool,run,wind,our_nd,cec_nd,our_cost_min,cec_cost_min,our_power_max,cec_power_max,d_cost_min_abs,d_cost_min_pct,d_power_max_abs,d_power_max_pct,C_cec_ours,C_ours_cec
ns41,nsga2,p100_i50,7,"240deg, 11 m/s",252,262,258241218.77305415,258463058.9820364,1685428.7661132812,1688316.7377929688,-221840.20898225904,-0.08583052829908559,-2887.9716796875,-0.1710562725014955,0.003968253968253968,0.950381679389313
ns41,nsga2,p100_i50,8,"210deg, 15 m/s",270,270,259638862.5034268,259334040.7518192,4545938.84375,4550961.783203125,304821.7516075969,0.11754020055520173,-5022.939453125,-0.11037094338308595,0.725925925925926,0.23333333333333334
ns41,nsga2,p100_i50,9,"180deg, 9 m/s",276,274,259183246.4366942,259165664.67336595,588763.1650390625,589027.7648925781,17581.763328254223,0.006783986354987661,-264.599853515625,-0.04492145689666776,0.17753623188405798,0.6094890510948905
ns48,moead,p100_i50,0,"240deg, 12 m/s",191,191,43851580.08096954,43846951.3737605,688033.4404296875,688033.4404296875,4628.707209043205,0.01055650863748119,0.0,0.0,0.34554973821989526,0.49214659685863876
ns48,moead,p100_i50,1,"60deg, 6 m/s",101,106,43840707.088157296,43840707.088157296,15853.6849060059,15853.6849060059,0.0,0.0,0.0,0.0,0.7722772277227723,0.0660377358490566
ns48,moead,p100_i50,2,"270deg, 6 m/s",121,111,43840707.088157296,43840707.088157296,15333.1245574951,15333.1245574951,0.0,0.0,0.0,0.0,0.14049586776859505,0.6936936936936937
ns48,moead,p100_i50,3,"120deg, 8 m/s",190,197,43840707.088157296,43840804.33995918,76529.3739013672,76529.3739013672,-97.25180188566446,-0.00022182941976049296,0.0,0.0,0.5842105263157895,0.3756345177664975
ns48,moead,p100_i50,4,"90deg, 10 m/s",264,289,43847970.87321818,43842892.36322612,327665.9731445312,327665.9731445312,5078.509992055595,0.011583428278366212,0.0,0.0,0.07954545454545454,0.8927335640138409
ns48,moead,p100_i50,5,"300deg, 11 m/s",258,297,43842995.38166279,43848038.90049751,485237.2670898438,485237.2670898438,-5043.518834717572,-0.011502267743747022,0.0,0.0,0.031007751937984496,0.9629629629629629
ns48,moead,p100_i50,6,"180deg, 5 m/s",101,97,43840707.088157296,43840707.088157296,4798.6747436523,4798.6747436523,0.0,0.0,0.0,0.0,0.3069306930693069,0.5773195876288659
ns48,moead,p100_i50,7,"0deg, 11 m/s",239,151,43848656.65314863,43843271.27372165,526673.9584960938,526673.9584960938,5385.3794269785285,0.012283251843496368,0.0,0.0,0.9205020920502092,0.033112582781456956
ns48,moead,p100_i50,8,"0deg, 2 m/s",76,75,43840707.088157296,43840707.088157296,6.5790194273,6.5790194273,0.0,0.0,0.0,0.0,0.21052631578947367,0.6133333333333333
ns48,moead,p100_i50,9,"240deg, 18 m/s",183,180,43843981.676579006,43851552.61458579,2333276.20703125,2333276.20703125,-7570.938006781042,-0.017264925767446638,0.0,0.0,0.6557377049180327,0.3611111111111111
ns48,nsga2,p100_i50,0,"240deg, 12 m/s",130,127,43881367.71966516,43884450.5123693,688033.4404296875,688033.4404296875,-3082.7927041351795,-0.007024795042759534,0.0,0.0,0.8,0.16535433070866143
ns48,nsga2,p100_i50,1,"60deg, 6 m/s",172,173,43899606.61273266,43859092.61186516,15853.6849060059,15853.6849060059,40514.00086749345,0.0923730940492217,0.0,0.0,0.05232558139534884,0.9075144508670521
ns48,nsga2,p100_i50,2,"270deg, 6 m/s",184,172,43904284.437956326,43916993.09946716,15333.1245574951,15333.1245574951,-12708.661510832608,-0.028937913581762956,0.0,0.0,0.8913043478260869,0.08139534883720931
ns48,nsga2,p100_i50,3,"120deg, 8 m/s",300,300,43911812.20958187,43970721.659360446,76529.3739013672,76529.3739013672,-58909.449778579175,-0.1339742618621284,0.0,0.0,0.41,0.36666666666666664
ns48,nsga2,p100_i50,4,"90deg, 10 m/s",256,223,43899134.74775487,43915112.273176886,327665.9731445312,327665.9731445312,-15977.525422014296,-0.03638274979834967,0.0,0.0,0.46484375,0.4080717488789238
ns48,nsga2,p100_i50,5,"300deg, 11 m/s",300,300,43981640.71800862,43935837.63073699,485237.2670898438,485237.2670898438,45803.087271630764,0.10424994660756727,0.0,0.0,0.03666666666666667,0.9033333333333333
ns48,nsga2,p100_i50,6,"180deg, 5 m/s",258,210,43945184.80467093,43965358.67496285,4798.6747436523,4798.6747436523,-20173.870291918516,-0.04588583125424841,0.0,0.0,0.023255813953488372,0.9714285714285714
ns48,nsga2,p100_i50,7,"0deg, 11 m/s",161,182,43890574.07865609,43896365.486646965,526673.9584960938,526673.9584960938,-5791.40799087286,-0.013193365616191105,0.0,0.0,0.09937888198757763,0.8956043956043956
ns48,nsga2,p100_i50,8,"0deg, 2 m/s",176,141,43885669.74676255,43887785.02052411,6.5790194273,6.5790194273,-2115.2737615555525,-0.00481973232544396,0.0,0.0,0.7840909090909091,0.14893617021276595
ns48,nsga2,p100_i50,9,"240deg, 18 m/s",148,166,43880251.50646732,43855945.607406065,2333276.20703125,2333276.20703125,24305.899061255157,0.05542212971267129,0.0,0.0,0.40540540540540543,0.4939759036144578
ns101,moead,p100_i50,0,"330deg, 13 m/s",300,300,133135358.39645804,133127712.17028072,1590577.517578125,1596759.8115234375,7646.226177319884,0.005743527063350841,-6182.2939453125,-0.38717745153005156,0.7666666666666667,0.13666666666666666
ns101,moead,p100_i50,1,"30deg, 4 m/s",185,182,133054399.7284989,133052844.01237345,1892.5764484406,1893.9583978653,1555.716125458479,0.001169246803408278,-1.3819494246999966,-0.0729661974760167,0.6054054054054054,0.2692307692307692
ns101,moead,p100_i50,2,"240deg, 8 m/s",300,300,133056083.82620028,133068104.75341204,161489.9212646484,162352.8640136719,-12020.927211761475,-0.00903366530547452,-862.9427490234957,-0.5315229603530902,0.5133333333333333,0.26666666666666666
ns101,moead,p100_i50,3,"210deg, 4 m/s",202,186,133053410.13739616,133054133.75181496,1885.8537397385,1887.3248357773,-723.6144188046455,-0.0005438496335291611,-1.471096038799942,-0.07794609655491908,0.7178217821782178,0.2849462365591398
ns101,moead,p100_i50,4,"90deg, 10 m/s",300,300,133099353.38211513,133092714.64185148,605173.3439941406,604698.7241210938,6638.740263640881,0.004988056845564787,474.619873046875,0.0784886513092477,0.043333333333333335,0.88
ns101,moead,p100_i50,5,"120deg, 19 m/s",300,300,133226818.26334624,133145868.3105704,4503376.400390625,4511181.1640625,80949.95277583599,0.06079794574399828,-7804.763671875,-0.17300931592041177,0.32,0.27666666666666667
ns101,moead,p100_i50,6,"30deg, 7 m/s",300,245,133053410.13739616,133058228.26451434,73786.7840576172,73820.0791625977,-4818.1271181851625,-0.0036210666420470605,-33.295104980497854,-0.04510304697338693,0.59,0.3551020408163265
ns101,moead,p100_i50,7,"30deg, 15 m/s",300,300,133159206.42690983,133203343.74091431,2518164.966796875,2518818.171875,-44137.31400448084,-0.03313528982450293,-653.205078125,-0.025932998475977975,0.48,0.31666666666666665
